SS-1 0-0 BL   
ID   X        Y      
  1  69.5000  46.4125 
  2  65.8333  51.0667 
  3  58.8082  39.7262 
  4  62.4884  42.9544 
  5  56.4333  51.0667 
  6  63.1667  49.2333 
  7  61.1952  38.5000 
  8  45.4500  46.0667 
  9  53.7667  49.2333 
 10  47.0333  51.0667 
 11  44.3667  49.2333 
 12  51.7667  41.4000 
 13  34.9667  49.2333 
 14  37.6333  51.0667 
 15  31.0250  44.7333 
 16  19.1583  44.7333 
 17  61.4466  45.8834 
 18  54.6292  46.0667 
 19  42.5500  45.3756 
 20  28.6417  46.0667 
 21  55.6333  36.8000 
 22  67.7428  39.3083 
 23  57.9165  38.4989 
 24  66.5182  17.5321 
 25  67.7812  32.9583 
 26  56.6599  28.7462 
 27  25.0917  44.7333 
 28  22.6000  46.0667 
 29  49.6792  44.0812 
 30  10.8333  51.3000 
 31  12.0833  49.8616 
 32  37.2417  46.0667 
 33  34.9083  44.7333 
 34  59.3296  30.1663 
 35  57.4188  22.6885 
 36  52.2500  34.2000 
 37  51.2833  33.2000 
 38  56.1167  33.2000 
 39  53.2167  33.2000 
 40  53.3623  26.4027 
 41  49.5059  27.4450 
 42  58.2679  19.2950 
 43  57.3269   4.2017 
 44  61.6079  26.1819 
 45  44.7039   4.8981 
 46  45.4395  11.6250 
 47  62.4962  16.5664 
 48  53.1250   1.8871 
 49  45.5745  20.0317 
 50   1.6667  47.6667 
 51  53.9705  22.0524 
 52  48.0140  16.1567 
 53  62.6805  31.0978 
 54  44.4059  25.9400 
 55  65.9231  30.4394 
 56  61.3425  28.9641 
 57  65.5240  36.7167 
 58  62.2592  36.7000 
 59  61.4088  19.3801 
 60  68.1102  14.8125 
 61  58.8419  36.0989 
 62  58.8419  34.8713 
 63  46.9539   2.3148 
 64  50.3289   4.2019 
 65  59.4195  40.9929 
 66  61.1924  40.9667 
 67  67.4519   8.2396 
 68  60.7019   2.3146 
 69  56.9479   7.6539 
 70  52.9355   9.2143 
 71   1.7495  38.8083 
 72   6.7495  37.6250 
 73  61.5401  12.2114 
 74  65.5621  11.2021 
 75   8.4162  40.9250 
 76   8.3333  48.1333 
 77  65.2019   4.2896 
 78  67.7500   1.9750 
 79   3.4162  35.9750 
 80   8.3333  35.1500 
 81  68.4080  20.4946 
 82  68.1419  27.1061 
 83   6.7495  44.9417 
 84   3.4162  44.4750 
 85  52.6333  29.2067 
 86  52.2534  24.2045 
 87  52.2811  17.5745 
 88  54.6846  15.4188 
 89  66.5499  23.9007 
 90  63.5727  23.7519 
 91  13.7500  50.2616 
 92  18.3333  50.2667 
 93  58.5509  10.7261 
 94  54.5385  12.2866 
 95  50.5184   8.0769 
 96  47.1434   8.7731 
 97  45.5392  28.5233 
 98  59.4692  33.5713 
 99  61.2738  33.6000 
100  58.8235  42.2596 
101  57.0434  37.2989 
102  58.5000  45.3290 
103  58.2546  43.8290 
104  58.8631  32.2713 
105  58.1056  29.9663 
106  57.9301  36.0989 
107  57.9301  34.8713 
108  57.6245  42.0929 
109  57.3287  38.3989 
110  51.7833  27.6099 
111  44.1333  29.7083 
112  16.5250  46.0616 
113  16.2500  48.8283 
114  65.7560  42.4794 
115  68.0132  43.6586 
116  55.1833  29.9799 
117  54.0500  29.9799 
118  59.4536  43.6623 
119  57.1879  42.9000 
120  11.2500  47.0949 
121  13.1917  44.7283 
122  42.6625  44.0422 
123  40.7208  44.0422 
124  61.3456  44.3834 
125  59.8000  46.6623 
126  67.5132  45.6336 
127  64.3466  46.6211 
128  54.1833  33.2000 
129  55.1500  34.2000 
130  53.7000  37.8000 
131  51.7667  36.8000 
132  57.6391  32.4713 
133  57.1957  31.6000 
134  56.2555  26.7657 
135  58.5950  25.2037 
136  41.0000  46.7089 
137  40.1417  45.3756 
138  57.3334  36.1989 
139  56.8900  35.5000 
140  57.3334  34.7713 
141  57.0434  33.6713 
142  59.4291  37.2989 
143  58.8150  38.4989 
144  57.0366  40.9262 
145  56.8854  39.1000 
146  57.3219  39.8262 
147  57.9097  39.7262 
148  56.4625  44.7333 
149  50.4000  46.7479 
150  51.7292  45.4146 
151  51.6208  44.0812 
152  53.7000  40.4000 
153  55.6333  41.4000 
154  49.3208  45.4146 
155  47.5042  44.7333 
156  51.7833  30.2268 
157  50.6500  30.2268 
158  49.2226  29.0418 
159  47.8059  29.8150 
160  46.9804  24.0134 
161  49.5304  25.0000 
