SS-1 0-0 BL   
ID   X        Y      
  1  65.1590  11.1340 
  2  67.7910  39.5358 
  3  67.1667  49.2333 
  4  52.4333  49.2333 
  5  69.5000  46.7167 
  6  68.5417  30.0907 
  7  63.1167  33.2000 
  8  66.9357  33.3608 
  9  65.5333  36.3000 
 10  68.6891  35.8059 
 11  67.2205  36.0392 
 12  68.6765  39.5691 
 13  61.1833  41.4000 
 14  61.8333  49.2333 
 15  66.9303  40.2358 
 16  57.7667  49.2333 
 17  47.0333  51.0667 
 18  50.4000  46.6528 
 19  29.8792  46.0667 
 20  44.3667  49.2333 
 21  37.6333  51.0667 
 22  36.9500  46.0667 
 23  34.9667  49.2333 
 24  42.6708  45.3950 
 25  27.1542  44.7333 
 26  58.2688  45.4149 
 27  20.3958  44.7333 
 28  63.2819  24.9110 
 29  64.5667  33.7000 
 30  33.9125  44.7333 
 31  67.8072  35.0608 
 32  67.5191  32.4608 
 33  23.4250  46.0667 
 34  58.3813  44.0816 
 35  10.8333  51.3000 
 36  12.0833  49.7277 
 37  64.0677  44.7333 
 38  45.5708  46.0667 
 39  62.1500  34.2000 
 40  61.1833  33.2000 
 41  64.0833  41.4000 
 42  61.3240  44.0816 
 43  60.1469  44.0816 
 44  64.5000  51.0667 
 45  62.6562  46.0667 
 46  65.5333  39.9000 
 47  66.0167  41.9000 
 48  61.5789  18.0063 
 49  54.7708   4.2634 
 50  69.1250  28.7991 
 51  67.3750  30.0907 
 52  58.9091   9.1285 
 53  61.3184  14.2495 
 54   1.6667  47.6667 
 55  56.0758   8.3516 
 56  54.3049  11.8382 
 57  57.0123  29.1532 
 58  54.7623  26.5699 
 59  65.3958   1.6801 
 60  68.2292   4.2634 
 61  65.8549  23.4621 
 62  67.9923  12.9404 
 63   1.7495  38.8083 
 64   6.7495  37.6250 
 65   8.4162  40.9250 
 66   8.3333  48.1333 
 67  57.6042   1.6801 
 68  65.3958   7.6237 
 69  61.5000   6.7204 
 70  61.5000   3.3602 
 71  67.9923  18.1071 
 72  65.4194  20.0574 
 73   3.4162  35.9750 
 74   8.3333  35.1500 
 75  56.5885  21.9355 
 76  54.8261  18.6156 
 77   6.7495  44.9417 
 78   3.4162  44.4750 
 79  60.9498  24.8025 
 80  59.6822  21.3025 
 81  13.7500  50.1277 
 82  18.3333  50.2667 
 83  61.1562  29.8656 
 84  60.1061  28.0188 
 85  58.9644  13.1473 
 86  56.1311  14.9538 
 87  66.9357  36.6392 
 88  67.8072  35.9392 
 89  67.2115  39.6358 
 90  66.7811  38.4000 
 91  16.9375  45.9277 
 92  16.2500  48.6944 
 93  42.6979  44.0617 
 94  40.3438  44.0617 
 95  65.6667  30.0907 
 96  62.2812  29.8656 
 97  11.2500  46.9610 
 98  13.6042  44.5944 
 99  65.2448  44.7333 
100  66.5000  46.0667 
101  68.3333  45.3833 
102  67.0790  42.9000 
103  49.6479  45.3195 
104  47.9521  44.7333 
105  50.5396  43.9862 
106  51.2917  45.3195 
107  63.1167  41.4000 
108  62.1500  40.4000 
109  65.5333  38.3000 
110  65.5333  32.7000 
111  65.5333  34.7000 
112  62.6333  37.8000 
113  61.6667  36.8000 
114  68.6891  34.9274 
115  67.0833  31.4000 
116  67.5528  27.0608 
117  68.4278  25.3867 
118  64.2604  28.9563 
119  64.9799  27.2180 
120  41.0000  46.7283 
121  39.8500  45.3950 
122  64.5667  37.3000 
123  66.7848  35.5000 
124  67.2205  34.9608 
125  66.9357  34.3608 
126  67.2169  37.7392 
127  67.7964  38.3392 
128  69.2691  37.0392 
129  68.6819  38.3726 
130  68.6857  32.0608 
131  69.2691  33.4274 
132  65.0500  40.9000 
133  66.7811  39.1000 
134  67.5094  41.9024 
135  66.9303  41.2358 
136  69.2637  40.9691 
137  68.6760  42.2024 
138  61.0896  45.4149 
139  59.8000  46.7483 
140  55.1000  51.0667 
141  52.8583  46.0667 
142  54.4604  44.7333 
143  56.7021  46.0667 
144  68.2457  43.8833 
145  69.4124  43.8500 
